,Country,EdLevel,CodingExperiance,Salary
45214,United States of America,Bachelor,5.0,150000.0
45217,Canada,less than bachelor's,10.0,70276.0
45234,Brazil,Bachelor,18.0,84000.0
45236,United States of America,Bachelor,10.0,95000.0
45237,United States of America,Bachelor,10.0,108000.0
45239,United States of America,Bachelor,1.0,72000.0
45243,United States of America,less than bachelor's,4.0,143000.0
45248,Canada,Bachelor,6.0,93701.0
45250,United States of America,Bachelor,1.0,50000.0
45253,United States of America,Bachelor,29.0,140000.0
45254,United States of America,Bachelor,18.0,130000.0
45260,Spain,less than bachelor's,4.0,31993.0
45262,Brazil,Masters,15.0,49860.0
45263,United States of America,Bachelor,6.0,125000.0
45264,United States of America,Bachelor,4.0,125000.0
45268,United States of America,Bachelor,4.0,90000.0
45273,United States of America,Masters,9.0,175000.0
45274,United States of America,Bachelor,7.0,92000.0
45277,United States of America,Bachelor,5.0,87000.0
45279,United States of America,Masters,15.0,155250.0
45283,United States of America,Bachelor,28.0,157000.0
45284,United States of America,less than bachelor's,1.0,50700.0
45288,United States of America,Masters,16.0,157000.0
45290,United States of America,less than bachelor's,44.0,150000.0
45291,United States of America,PostGrad,9.0,140000.0
45294,United States of America,Bachelor,6.0,130000.0
45295,United States of America,less than bachelor's,25.0,92000.0
45301,United States of America,Bachelor,6.0,93000.0
45307,Canada,Bachelor,11.0,105414.0
45308,United States of America,less than bachelor's,5.0,86000.0
45313,United States of America,Bachelor,8.0,155000.0
45314,United States of America,less than bachelor's,16.0,150000.0
45316,India,Bachelor,2.0,18056.0
45317,United States of America,Masters,1.0,80000.0
45318,Italy,Masters,13.0,52255.0
45319,United States of America,Bachelor,2.0,115419.0
45322,United States of America,Bachelor,25.0,120000.0
45323,India,Bachelor,7.0,30953.0
45331,United States of America,Masters,10.0,95000.0
45335,United States of America,Bachelor,0.5,87000.0
45336,United States of America,Bachelor,5.0,90000.0
45337,Brazil,Masters,15.0,59832.0
45344,France,Masters,1.0,34126.0
45345,United States of America,Masters,5.0,128500.0
45346,United States of America,Bachelor,8.0,130000.0
45348,Italy,less than bachelor's,2.0,18552.0
45349,Poland,less than bachelor's,26.0,83256.0
45350,United States of America,Bachelor,36.0,128000.0
45354,Brazil,Bachelor,15.0,96000.0
45362,United States of America,Bachelor,13.0,130000.0
45363,United States of America,PostGrad,21.0,140000.0
45366,United States of America,Bachelor,8.0,145000.0
45367,United States of America,Masters,11.0,160000.0
45370,United States of America,Masters,4.0,132000.0
45377,Canada,Bachelor,2.0,73009.0
45378,United States of America,Bachelor,20.0,150000.0
45380,United States of America,less than bachelor's,14.0,130000.0
45385,United States of America,Bachelor,16.0,155000.0
45386,United States of America,Bachelor,1.0,99000.0
45387,United States of America,Masters,15.0,160000.0
45392,United States of America,Bachelor,6.0,130000.0
45394,United States of America,Bachelor,18.0,117000.0
45401,Sweden,Masters,3.0,53628.0
45404,Germany,Bachelor,5.0,38392.0
45405,Spain,Masters,10.0,53322.0
45409,United States of America,Bachelor,1.0,101000.0
45410,United States of America,Bachelor,30.0,175000.0
45412,Germany,less than bachelor's,8.0,57588.0
45415,United States of America,Masters,27.0,157000.0
45416,United States of America,Bachelor,8.0,118000.0
45420,Canada,Bachelor,25.0,64810.0
45429,Canada,Bachelor,22.0,124935.0
45437,Sweden,PostGrad,1.0,39012.0
45442,United States of America,Bachelor,10.0,120000.0
45443,United States of America,Bachelor,12.0,135000.0
45444,United States of America,less than bachelor's,22.0,105000.0
45445,Italy,Bachelor,6.0,37325.0
45447,United States of America,Masters,2.0,83000.0
45449,United States of America,Bachelor,2.0,140000.0
45450,United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,75384.0
45452,United States of America,PostGrad,13.0,170000.0
45453,Italy,less than bachelor's,11.0,47990.0
45456,United Kingdom of Great Britain and Northern Ireland,Bachelor,6.0,100511.0
45463,United States of America,Bachelor,22.0,150000.0
45468,Germany,Masters,2.0,74651.0
45470,United States of America,Bachelor,29.0,125000.0
45471,Canada,less than bachelor's,8.0,58563.0
45477,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,8.0,43974.0
45479,Canada,less than bachelor's,16.0,132743.0
45480,United States of America,Bachelor,16.0,62000.0
45486,United Kingdom of Great Britain and Northern Ireland,Bachelor,22.0,169613.0
45490,United States of America,Bachelor,5.0,140000.0
45492,United States of America,less than bachelor's,11.0,111000.0
45493,Italy,less than bachelor's,10.0,37325.0
45494,United States of America,Bachelor,4.0,120000.0
45495,United States of America,Bachelor,9.0,140000.0
45496,United States of America,Bachelor,32.0,140000.0
45497,Sweden,Masters,8.0,53028.0
45504,France,Masters,2.0,31993.0
45505,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,6.0,42717.0
45506,United States of America,Bachelor,11.0,143000.0
45510,United States of America,Bachelor,15.0,140000.0
45513,Brazil,less than bachelor's,5.0,42000.0
45517,United States of America,Masters,10.0,150000.0
45519,Brazil,Bachelor,25.0,27420.0
45520,United States of America,Bachelor,4.0,135000.0
45521,United States of America,Bachelor,7.0,175000.0
45522,United States of America,Bachelor,10.0,130000.0
45524,United States of America,Bachelor,3.0,69000.0
45530,United Kingdom of Great Britain and Northern Ireland,Bachelor,20.0,125639.0
45531,United States of America,Bachelor,7.0,130000.0
45532,United States of America,Bachelor,16.0,125000.0
45536,United States of America,PostGrad,7.0,150000.0
45537,United States of America,Masters,35.0,150000.0
45541,United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,50256.0
45547,United States of America,less than bachelor's,8.0,104600.0
45549,United Kingdom of Great Britain and Northern Ireland,PostGrad,22.0,74127.0
45550,United States of America,Bachelor,0.5,100000.0
45552,United States of America,Bachelor,13.0,128000.0
45554,United Kingdom of Great Britain and Northern Ireland,Masters,12.0,166472.0
45555,United States of America,Masters,8.0,175000.0
45557,Spain,Masters,7.0,30927.0
45562,United Kingdom of Great Britain and Northern Ireland,Masters,5.0,50256.0
45563,United States of America,Bachelor,11.0,90000.0
45565,United States of America,less than bachelor's,7.0,142500.0
45566,United States of America,PostGrad,5.0,56000.0
45568,Canada,Masters,25.0,78865.0
45572,Spain,Bachelor,14.0,69318.0
45573,United States of America,Bachelor,12.0,165000.0
45575,Italy,Bachelor,4.0,40525.0
45577,Canada,Bachelor,25.0,93701.0
45596,United States of America,Bachelor,5.0,94000.0
45597,France,Masters,4.0,53322.0
45600,United States of America,Bachelor,18.0,85000.0
45601,United States of America,Bachelor,10.0,175000.0
45602,Germany,less than bachelor's,27.0,85315.0
45605,United States of America,Bachelor,9.0,165000.0
45606,United States of America,Bachelor,12.0,120000.0
45610,Germany,Bachelor,4.0,57588.0
45613,United Kingdom of Great Britain and Northern Ireland,PostGrad,10.0,125639.0
45615,Brazil,Bachelor,0.5,12468.0
45616,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,8.0,50256.0
45618,United Kingdom of Great Britain and Northern Ireland,Bachelor,9.0,119357.0
45620,United States of America,Bachelor,22.0,175000.0
45621,United States of America,Bachelor,10.0,126000.0
45623,United States of America,Bachelor,5.0,26000.0
45625,Italy,less than bachelor's,1.0,21329.0
45627,United States of America,less than bachelor's,14.0,96000.0
45629,Canada,Bachelor,4.0,42165.0
45636,United States of America,Bachelor,41.0,142000.0
45640,United States of America,Bachelor,10.0,151000.0
45641,India,Bachelor,4.0,23215.0
45642,United States of America,Bachelor,36.0,130000.0
45644,United States of America,Bachelor,2.0,73000.0
45645,United States of America,PostGrad,5.0,60000.0
45646,United States of America,Bachelor,4.0,105000.0
45648,Canada,Bachelor,28.0,132743.0
45656,United States of America,Bachelor,5.0,110000.0
45657,Germany,Bachelor,5.0,51192.0
45658,United States of America,Bachelor,0.5,66300.0
45660,Canada,Masters,6.0,54659.0
45661,United States of America,Bachelor,19.0,157550.0
45665,United Kingdom of Great Britain and Northern Ireland,PostGrad,14.0,50256.0
45668,United States of America,less than bachelor's,40.0,155000.0
45671,United States of America,Bachelor,8.0,108000.0
45672,United Kingdom of Great Britain and Northern Ireland,Bachelor,5.0,84807.0
45673,United Kingdom of Great Britain and Northern Ireland,Masters,8.0,157049.0
45677,United States of America,Bachelor,1.0,155000.0
45681,Spain,Masters,3.0,26661.0
45684,United States of America,Masters,20.0,100000.0
45685,Canada,Masters,5.0,80784.0
45688,United States of America,Bachelor,5.0,83000.0
45692,United States of America,Bachelor,3.0,110000.0
45695,United States of America,less than bachelor's,15.0,100000.0
45696,India,Bachelor,5.0,19346.0
45697,United States of America,Bachelor,4.0,80000.0
45701,Sweden,less than bachelor's,33.0,65820.0
45703,United States of America,Bachelor,10.0,150000.0
45709,United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,87948.0
45716,India,Bachelor,2.0,29664.0
45720,Brazil,Masters,18.0,41547.0
45722,United States of America,Masters,1.0,160000.0
45724,Spain,Bachelor,6.0,36259.0
45725,United States of America,Bachelor,14.0,150000.0
45726,United States of America,Masters,3.0,105000.0
45734,Netherlands,PostGrad,8.0,79983.0
45736,United States of America,Bachelor,11.0,172000.0
45738,United Kingdom of Great Britain and Northern Ireland,Masters,6.0,150767.0
45741,Brazil,Masters,25.0,44868.0
45745,Canada,less than bachelor's,8.0,50755.0
45747,United States of America,Bachelor,11.0,170000.0
45749,United States of America,Bachelor,4.0,110000.0
45751,Spain,Bachelor,9.0,42657.0
45757,United States of America,Bachelor,3.0,125000.0
45758,United States of America,Bachelor,4.0,125000.0
45765,United States of America,Bachelor,18.0,77000.0
45768,United States of America,less than bachelor's,4.0,111000.0
45774,United States of America,Bachelor,17.0,105000.0
45777,Italy,less than bachelor's,7.0,24312.0
45778,Germany,Bachelor,10.0,106644.0
45779,United States of America,Masters,3.0,150000.0
45781,United States of America,less than bachelor's,3.0,130000.0
45786,United States of America,Bachelor,22.0,150000.0
45791,United States of America,Bachelor,6.0,95000.0
45798,United States of America,Bachelor,6.0,150000.0
45799,United States of America,Bachelor,6.0,15600.0
45800,United States of America,less than bachelor's,20.0,77000.0
45804,Canada,Masters,10.0,62467.0
45807,United States of America,Bachelor,10.0,94000.0
45811,United States of America,Bachelor,27.0,120000.0
45812,United States of America,Bachelor,26.0,150000.0
45814,Germany,Bachelor,3.0,51192.0
45816,United States of America,Bachelor,6.0,81000.0
45819,Australia,Masters,10.0,151450.0
45820,United Kingdom of Great Britain and Northern Ireland,Masters,18.0,50250.0
45822,United States of America,Bachelor,1.0,95000.0
45824,United States of America,Bachelor,4.0,120000.0
45826,Germany,Bachelor,21.0,69318.0
45828,United States of America,less than bachelor's,6.0,119600.0
45832,United States of America,less than bachelor's,43.0,164000.0
45834,United States of America,Bachelor,2.0,100000.0
45839,United States of America,PostGrad,22.0,160000.0
45840,United States of America,Bachelor,11.0,120000.0
45841,Germany,Bachelor,15.0,170630.0
45843,United States of America,Bachelor,7.0,130000.0
45844,United States of America,Masters,17.0,130000.0
45845,United States of America,Bachelor,8.0,140000.0
45854,United States of America,less than bachelor's,20.0,137000.0
45855,United States of America,less than bachelor's,25.0,100000.0
45861,Spain,Bachelor,1.0,42657.0
45862,France,Masters,2.0,35192.0
45864,Brazil,PostGrad,5.0,20773.0
45867,United States of America,Bachelor,15.0,170000.0
45869,United Kingdom of Great Britain and Northern Ireland,Bachelor,37.0,100511.0
45870,United States of America,Bachelor,1.0,80000.0
45871,United States of America,Bachelor,1.0,60000.0
45874,United Kingdom of Great Britain and Northern Ireland,Bachelor,21.0,113075.0
45878,United States of America,Masters,20.0,150000.0
45883,Brazil,Bachelor,12.0,24845.0
45885,Brazil,Bachelor,7.0,27420.0
45889,United States of America,Bachelor,35.0,175000.0
45893,United States of America,less than bachelor's,7.0,103000.0
45898,United Kingdom of Great Britain and Northern Ireland,Bachelor,4.0,100511.0
45899,Brazil,Bachelor,6.0,31164.0
45903,Brazil,less than bachelor's,6.0,39888.0
45909,United States of America,Bachelor,18.0,160000.0
45913,Brazil,Masters,4.0,32614.0
45916,Netherlands,Bachelor,5.0,42168.0
45918,Brazil,Bachelor,4.0,17448.0
45923,India,Bachelor,6.0,43851.0
45924,Spain,Bachelor,5.0,53322.0
45925,United States of America,Bachelor,9.0,120000.0
45936,Canada,Bachelor,3.0,66372.0
45937,United States of America,Bachelor,22.0,93000.0
45941,Canada,Bachelor,9.0,156168.0
45945,France,PostGrad,4.0,25344.0
45949,Canada,Bachelor,7.0,80427.0
45955,United States of America,Bachelor,35.0,98000.0
45956,United States of America,Bachelor,2.0,95000.0
45959,United States of America,Masters,36.0,90000.0
45961,Canada,Masters,19.0,156168.0
45967,United States of America,Bachelor,11.0,135000.0
45973,United States of America,Bachelor,3.0,73000.0
45975,Canada,Bachelor,3.0,93701.0
45978,United States of America,less than bachelor's,24.0,120000.0
45980,United States of America,Bachelor,3.0,108000.0
45982,United States of America,less than bachelor's,8.0,153000.0
45984,Canada,less than bachelor's,28.0,148360.0
45988,United States of America,Bachelor,4.0,120000.0
45989,Brazil,less than bachelor's,5.0,12468.0
45992,Sweden,Bachelor,3.0,50712.0
45997,United States of America,less than bachelor's,26.0,106139.0
45998,United States of America,less than bachelor's,15.0,124000.0
46004,United States of America,Bachelor,3.0,70000.0
46005,Brazil,less than bachelor's,8.0,53592.0
46010,United States of America,PostGrad,12.0,120000.0
46011,United States of America,Bachelor,35.0,163000.0
46013,United States of America,PostGrad,27.0,120000.0
46017,United States of America,Masters,5.0,140000.0
46018,Canada,Masters,2.0,70276.0
46020,Spain,Masters,3.0,58654.0
46026,United States of America,less than bachelor's,6.0,116000.0
46027,Canada,less than bachelor's,12.0,105414.0
46030,India,Bachelor,2.0,11607.0
46031,United States of America,Bachelor,7.0,115000.0
46035,United States of America,Bachelor,30.0,125000.0
46038,United States of America,Bachelor,40.0,122500.0
46040,Germany,Bachelor,14.0,95979.0
46044,Canada,Masters,15.0,128839.0
46045,United States of America,Bachelor,17.0,160240.0
46046,Germany,Masters,3.0,85315.0
46049,United States of America,Bachelor,0.5,108000.0
46055,Netherlands,less than bachelor's,6.0,25596.0
46057,Canada,less than bachelor's,9.0,140551.0
46062,United States of America,Bachelor,9.0,150000.0
46066,United Kingdom of Great Britain and Northern Ireland,Bachelor,1.0,33923.0
46076,Spain,Masters,14.0,52255.0
46078,Canada,Bachelor,22.0,145236.0
46079,United States of America,Bachelor,0.5,123000.0
46089,Germany,Bachelor,5.0,63986.0
46091,Germany,Bachelor,16.0,76783.0
46095,United Kingdom of Great Britain and Northern Ireland,Masters,5.0,71614.0
46099,United States of America,Bachelor,5.0,100000.0
46103,Canada,Masters,20.0,156168.0
46107,India,Masters,11.0,77388.0
46111,United States of America,Bachelor,3.0,81000.0
46115,Spain,less than bachelor's,6.0,93846.0
46119,United States of America,Bachelor,13.0,110000.0
46123,Canada,less than bachelor's,14.0,93701.0
46129,Poland,Bachelor,8.0,69372.0
46133,United States of America,Masters,36.0,140000.0
46138,United States of America,Bachelor,2.0,161000.0
46139,United States of America,Bachelor,5.0,89000.0
46143,Italy,Masters,22.0,42657.0
46145,United States of America,Bachelor,3.0,88000.0
46146,United States of America,Bachelor,30.0,140000.0
46152,United States of America,Bachelor,9.0,155000.0
46153,United States of America,Bachelor,10.0,121000.0
46155,United States of America,Bachelor,3.0,67000.0
46164,United States of America,Bachelor,10.0,95000.0
46166,Germany,less than bachelor's,2.0,38392.0
46167,Canada,Bachelor,7.0,67152.0
46169,Poland,Bachelor,6.0,41628.0
46170,Germany,Masters,9.0,95979.0
46171,United States of America,less than bachelor's,18.0,88000.0
46175,United States of America,Bachelor,4.0,103500.0
46176,Brazil,Bachelor,3.0,10224.0
46182,Canada,Masters,14.0,130908.0
46185,United States of America,Bachelor,4.0,117000.0
46188,United States of America,Bachelor,11.0,170000.0
46192,United States of America,Bachelor,12.0,135000.0
46198,United States of America,Masters,14.0,107500.0
46205,Brazil,less than bachelor's,17.0,26604.0
46207,United States of America,less than bachelor's,12.0,170000.0
46211,Poland,Masters,15.0,41628.0
46215,United States of America,Masters,4.0,170000.0
46217,India,Masters,1.0,21925.0
46219,Poland,Masters,27.0,49956.0
46221,Germany,Masters,3.0,29052.0
46230,United States of America,less than bachelor's,22.0,100000.0
46231,United States of America,Masters,41.0,170000.0
46232,Brazil,Bachelor,2.0,16056.0
46233,United States of America,less than bachelor's,28.0,130000.0
46235,United States of America,less than bachelor's,13.0,140000.0
46240,Canada,Masters,2.0,70276.0
46241,United States of America,Bachelor,4.0,117500.0
46242,United States of America,Masters,7.0,100000.0
46244,United States of America,Masters,5.0,80500.0
46247,Canada,Bachelor,5.0,101509.0
46258,Poland,Masters,9.0,63828.0
46261,United States of America,less than bachelor's,3.0,40000.0
46264,United States of America,Bachelor,12.0,85000.0
46265,United States of America,Masters,5.0,145000.0
46267,Sweden,less than bachelor's,16.0,61560.0
46273,India,Bachelor,4.0,34824.0
46274,Germany,Masters,2.0,98112.0
46276,United States of America,Bachelor,5.0,110000.0
46277,United States of America,less than bachelor's,14.0,142000.0
46279,United Kingdom of Great Britain and Northern Ireland,Bachelor,32.0,87948.0
46281,United States of America,Masters,20.0,150000.0
46288,United States of America,Masters,1.0,90000.0
46295,United States of America,Bachelor,7.0,127000.0
46298,India,less than bachelor's,2.0,17028.0
46301,United States of America,Bachelor,7.0,149000.0
46305,United States of America,Bachelor,3.0,72000.0
46308,Poland,Bachelor,10.0,49956.0
46311,United States of America,Bachelor,32.0,103000.0
46312,Spain,less than bachelor's,2.0,25594.0
46314,United States of America,PostGrad,27.0,110000.0
46315,Canada,Bachelor,5.0,66372.0
46316,Canada,Bachelor,14.0,128839.0
46319,United States of America,PostGrad,20.0,132000.0
46320,Poland,Bachelor,3.0,19428.0
46321,Germany,PostGrad,25.0,106644.0
46324,Germany,Masters,25.0,87448.0
46328,United Kingdom of Great Britain and Northern Ireland,Bachelor,5.0,103024.0
46330,United States of America,Bachelor,10.0,140000.0
46336,Netherlands,Masters,6.0,35832.0
46338,Canada,PostGrad,20.0,117126.0
46341,United States of America,less than bachelor's,6.0,132000.0
46347,Canada,less than bachelor's,12.0,63248.0
46352,Canada,Bachelor,7.0,136647.0
46362,Germany,Bachelor,10.0,90647.0
46364,United States of America,Bachelor,12.0,75000.0
46369,United States of America,PostGrad,8.0,105000.0
46372,Brazil,Bachelor,10.0,21684.0
46374,United States of America,Bachelor,7.0,171000.0
46377,United States of America,Masters,5.0,116000.0
46379,Spain,less than bachelor's,31.0,23040.0
46388,Canada,PostGrad,20.0,132743.0
46391,Canada,less than bachelor's,22.0,89797.0
46396,United States of America,Bachelor,28.0,120000.0
46397,United States of America,Bachelor,12.0,130000.0
46402,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,2.0,62191.0
46403,United States of America,less than bachelor's,25.0,172500.0
46404,United States of America,Masters,16.0,100000.0
46407,Canada,less than bachelor's,8.0,140551.0
46410,Poland,Masters,4.0,30528.0
46411,United States of America,less than bachelor's,17.0,90000.0
46417,United States of America,Bachelor,12.0,150000.0
46419,United States of America,Bachelor,12.0,126000.0
46420,United States of America,Masters,6.0,105000.0
46421,United States of America,Bachelor,26.0,175000.0
46424,United States of America,Bachelor,2.0,75000.0
46429,Canada,Bachelor,2.0,62467.0
46436,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,14.0,157049.0
46439,United States of America,Bachelor,18.0,160000.0
46445,Canada,Bachelor,2.0,62467.0
46447,United States of America,Masters,5.0,150000.0
46451,United States of America,less than bachelor's,9.0,120000.0
46453,Netherlands,less than bachelor's,0.5,33276.0
46454,United States of America,Bachelor,28.0,102000.0
46455,United States of America,less than bachelor's,17.0,140000.0
46461,Canada,Bachelor,8.0,128058.0
46468,Germany,Bachelor,9.0,127972.0
46472,Spain,less than bachelor's,5.0,42657.0
46474,United States of America,Bachelor,0.5,60000.0
46476,United States of America,PostGrad,25.0,110000.0
46489,United States of America,less than bachelor's,22.0,110000.0
46500,India,Bachelor,5.0,11607.0
46504,Canada,Bachelor,5.0,136647.0
46507,Spain,Bachelor,1.0,22395.0
46511,United States of America,Bachelor,8.0,115000.0
46514,Poland,Masters,4.0,37000.0
46522,Brazil,Bachelor,14.0,29916.0
46529,Brazil,less than bachelor's,3.0,31160.0
46540,United States of America,Bachelor,5.0,104000.0
46541,United States of America,Bachelor,8.0,100000.0
46547,United Kingdom of Great Britain and Northern Ireland,Bachelor,24.0,165844.0
46549,United States of America,Bachelor,17.0,155000.0
46553,United States of America,Bachelor,18.0,160000.0
46556,United States of America,Bachelor,3.0,120000.0
46557,Sweden,Masters,10.0,73140.0
46558,United States of America,Bachelor,6.0,140000.0
46561,United States of America,Bachelor,2.0,76000.0
46571,Brazil,Bachelor,13.0,46577.0
46573,Brazil,Bachelor,7.0,27005.0
46574,Germany,PostGrad,9.0,79983.0
46577,United States of America,Masters,7.0,85000.0
46578,United States of America,Masters,30.0,98800.0
46584,India,Bachelor,12.0,23215.0
46585,United Kingdom of Great Britain and Northern Ireland,Bachelor,13.0,75384.0
46588,Brazil,Bachelor,12.0,24924.0
46591,India,Bachelor,3.0,154764.0
46596,United Kingdom of Great Britain and Northern Ireland,Bachelor,13.0,150767.0
46599,India,Bachelor,9.0,64486.0
46601,Canada,Bachelor,27.0,97605.0
46604,Canada,Masters,5.0,93701.0
46606,India,Masters,5.0,30953.0
46607,Italy,Bachelor,18.0,25596.0
46610,United States of America,less than bachelor's,6.0,150000.0
46612,Canada,Bachelor,10.0,70276.0
46613,United States of America,Bachelor,7.0,140000.0
46614,Netherlands,Bachelor,9.0,59720.0
46615,Brazil,Bachelor,3.0,25068.0
46616,United States of America,Bachelor,1.0,150000.0
46620,Canada,less than bachelor's,20.0,62467.0
46624,United States of America,Bachelor,5.0,153000.0
46632,United States of America,less than bachelor's,2.0,70000.0
46634,United States of America,Bachelor,17.0,130000.0
46636,United States of America,Bachelor,15.0,145000.0
46641,Spain,less than bachelor's,5.0,23995.0
46642,Netherlands,Bachelor,1.0,31993.0
46649,United States of America,less than bachelor's,11.0,165000.0
46650,Canada,Bachelor,30.0,74180.0
46659,United States of America,Bachelor,20.0,120000.0
46660,Spain,Bachelor,1.0,23462.0
46661,Canada,Bachelor,8.0,131181.0
46664,Canada,Bachelor,15.0,81988.0
46667,United States of America,Bachelor,4.0,100000.0
46670,Canada,Bachelor,10.0,70276.0
46673,United States of America,PostGrad,35.0,139000.0
46676,United States of America,less than bachelor's,7.0,120000.0
46681,Spain,Masters,7.0,59720.0
46683,Canada,Bachelor,19.0,89797.0
46687,Canada,Bachelor,4.0,90539.0
46688,United States of America,less than bachelor's,23.0,140000.0
46690,Germany,Masters,4.0,62920.0
46691,United States of America,less than bachelor's,5.0,175000.0
46692,Sweden,Masters,12.0,58512.0
46694,United States of America,less than bachelor's,5.0,110000.0
46698,Italy,less than bachelor's,4.0,31993.0
46704,France,Masters,14.0,85315.0
46706,United Kingdom of Great Britain and Northern Ireland,Bachelor,33.0,81666.0
46713,United Kingdom of Great Britain and Northern Ireland,Masters,22.0,62820.0
46714,India,Bachelor,1.0,26407.0
46716,United States of America,PostGrad,32.0,160000.0
46717,United States of America,Bachelor,0.5,92000.0
46728,United States of America,Masters,3.0,145000.0
46732,Canada,Bachelor,8.0,140000.0
46735,Spain,PostGrad,12.0,31993.0
46738,United States of America,Bachelor,9.0,130000.0
46763,United States of America,Bachelor,5.0,170000.0
46781,France,Masters,1.0,42657.0
46785,United States of America,Bachelor,3.0,143000.0
46786,United States of America,Bachelor,1.0,90000.0
46787,United States of America,less than bachelor's,5.0,132000.0
46788,United Kingdom of Great Britain and Northern Ireland,Bachelor,8.0,69102.0
46797,United States of America,Bachelor,5.0,100000.0
46800,United States of America,Bachelor,9.0,148500.0
46801,Italy,Bachelor,4.0,42657.0
46804,United States of America,Masters,12.0,160000.0
46821,United States of America,less than bachelor's,23.0,165000.0
46828,United States of America,Masters,27.0,139000.0
46829,Italy,Bachelor,6.0,23040.0
46830,United States of America,Bachelor,13.0,75000.0
46831,United States of America,Bachelor,18.0,175000.0
46833,Spain,less than bachelor's,7.0,47990.0
46837,United States of America,Masters,25.0,160000.0
46838,Netherlands,PostGrad,24.0,106644.0
46841,United States of America,less than bachelor's,1.0,84000.0
46850,United States of America,Bachelor,16.0,100000.0
46855,Germany,Bachelor,2.0,51189.0
46856,United States of America,less than bachelor's,5.0,120000.0
46858,Brazil,less than bachelor's,3.0,19944.0
46864,United States of America,Masters,11.0,112000.0
46872,Canada,Bachelor,3.0,74180.0
46875,United States of America,Bachelor,18.0,150000.0
46879,United States of America,Bachelor,3.0,50000.0
46882,Spain,less than bachelor's,7.0,33593.0
46884,Germany,Masters,6.0,53322.0
46889,Brazil,Masters,28.0,39888.0
46897,United Kingdom of Great Britain and Northern Ireland,Bachelor,5.0,100511.0
46898,Spain,Bachelor,3.0,42657.0
46899,Brazil,Bachelor,4.0,11220.0
46900,Italy,Masters,0.5,24312.0
46904,Germany,Masters,15.0,106644.0
46906,United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,69102.0
46913,United States of America,Bachelor,25.0,145000.0
46914,Germany,less than bachelor's,2.0,42657.0
46915,Spain,Bachelor,0.5,29860.0
46919,United States of America,Bachelor,10.0,124000.0
46920,Brazil,Bachelor,16.0,93480.0
46922,Sweden,Masters,17.0,55464.0
46923,United States of America,less than bachelor's,33.0,132000.0
46924,Brazil,Bachelor,5.0,51933.0
46929,United States of America,Bachelor,1.0,90000.0
46931,United States of America,Masters,18.0,85000.0
46932,Spain,PostGrad,11.0,29860.0
46933,Italy,less than bachelor's,2.0,21329.0
46935,United States of America,Bachelor,22.0,175000.0
46937,United States of America,Bachelor,4.0,47000.0
46939,Netherlands,Masters,11.0,38760.0
46940,United States of America,less than bachelor's,26.0,132000.0
46943,United States of America,less than bachelor's,4.0,150000.0
46947,Brazil,Bachelor,5.0,20340.0
46950,United Kingdom of Great Britain and Northern Ireland,Masters,15.0,81666.0
46952,Spain,Bachelor,5.0,33060.0
46956,United States of America,Bachelor,4.0,128000.0
46958,United States of America,Bachelor,11.0,130000.0
46959,Germany,less than bachelor's,3.0,38388.0
46960,United Kingdom of Great Britain and Northern Ireland,Masters,4.0,69102.0
46964,Poland,Bachelor,3.0,51888.0
46969,United States of America,PostGrad,16.0,120000.0
46973,Canada,Bachelor,5.0,46850.0
46976,Netherlands,Masters,10.0,138637.0
46981,Germany,less than bachelor's,5.0,65906.0
46993,United Kingdom of Great Britain and Northern Ireland,Bachelor,39.0,90460.0
46995,Poland,Bachelor,8.0,51336.0
46996,United States of America,Bachelor,12.0,81000.0
46998,Germany,less than bachelor's,4.0,53322.0
47001,United States of America,Masters,4.0,160000.0
47003,Canada,Bachelor,22.0,81988.0
47009,United States of America,less than bachelor's,13.0,100000.0
47018,Brazil,PostGrad,12.0,10224.0
47020,Poland,Bachelor,5.0,52452.0
47023,United States of America,less than bachelor's,14.0,147500.0
47024,United States of America,less than bachelor's,4.0,82000.0
47026,Australia,Bachelor,28.0,125973.0
47027,United States of America,Bachelor,1.0,70000.0
47029,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,22.0,100511.0
47031,Spain,Masters,8.0,53322.0
47035,Spain,Masters,13.0,69318.0
47036,United States of America,less than bachelor's,6.0,140000.0
47041,United States of America,Masters,32.0,155000.0
47045,United States of America,Masters,2.0,64000.0
47048,Canada,Bachelor,2.0,74414.0
47049,Spain,Masters,10.0,56521.0
47053,United Kingdom of Great Britain and Northern Ireland,Bachelor,26.0,106793.0
47054,Canada,less than bachelor's,3.0,89797.0
47055,France,less than bachelor's,17.0,65053.0
47056,United States of America,Bachelor,6.0,170000.0
47057,United States of America,Bachelor,6.0,85000.0
47058,United States of America,Bachelor,23.0,120000.0
47062,Spain,less than bachelor's,1.0,31993.0
47066,Germany,Bachelor,5.0,43512.0
47072,United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,48371.0
47074,Germany,Masters,11.0,87448.0
